fpr,tpr,threshold
3.162412468940591949e-03,3.764000000000000123e-01,9.009736788164317556e-01
3.182947614842803613e-03,3.764000000000000123e-01,9.009733345203075894e-01
3.182947614842803613e-03,3.764600000000000168e-01,9.009675599933812951e-01
3.203482760745015277e-03,3.764600000000000168e-01,9.009671804851898669e-01
3.203482760745015277e-03,3.768599999999999728e-01,9.009404684966157983e-01
3.224017906647226941e-03,3.768599999999999728e-01,9.009390022029943879e-01
3.224017906647226941e-03,3.786599999999999966e-01,9.008271578602725649e-01
3.244553052549438172e-03,3.786599999999999966e-01,9.008258200943897176e-01
3.244553052549438172e-03,3.793000000000000260e-01,9.007904215720820007e-01
3.265088198451649836e-03,3.793000000000000260e-01,9.007898734418070541e-01
3.265088198451649836e-03,3.794199999999999795e-01,9.007803887841250301e-01
3.285623344353861500e-03,3.794199999999999795e-01,9.007800265933435524e-01
3.285623344353861500e-03,3.795600000000000085e-01,9.007672734729698094e-01
3.306158490256073165e-03,3.795600000000000085e-01,9.007631319117982427e-01
3.306158490256073165e-03,3.809600000000000208e-01,9.006762019178040646e-01
3.326693636158284829e-03,3.809600000000000208e-01,9.006759066551877080e-01
3.326693636158284829e-03,3.815799999999999748e-01,9.006361560278011158e-01
3.347228782060496493e-03,3.815799999999999748e-01,9.006359706362561113e-01
3.347228782060496493e-03,3.817800000000000082e-01,9.006303866803008207e-01
3.367763927962708157e-03,3.817800000000000082e-01,9.006291807833897156e-01
3.367763927962708157e-03,3.822800000000000087e-01,9.006011041997824540e-01
3.388299073864919821e-03,3.822800000000000087e-01,9.006004131397101764e-01
3.388299073864919821e-03,3.826999999999999846e-01,9.005744203998695685e-01
3.408834219767131486e-03,3.826999999999999846e-01,9.005737010884881100e-01
3.408834219767131486e-03,3.831800000000000206e-01,9.005362911501126888e-01
3.429369365669343150e-03,3.831800000000000206e-01,9.005358668188204740e-01
3.429369365669343150e-03,3.837599999999999900e-01,9.005079401318192289e-01
3.449904511571554814e-03,3.837599999999999900e-01,9.005037280475195471e-01
3.449904511571554814e-03,3.851999999999999869e-01,9.004012327495209966e-01
3.470439657473766478e-03,3.851999999999999869e-01,9.003993506986903705e-01
3.470439657473766478e-03,3.870799999999999796e-01,9.002651781867416769e-01
3.511509949278189806e-03,3.870799999999999796e-01,9.002629810158675472e-01
3.511509949278189806e-03,3.881600000000000050e-01,9.002057185923768579e-01
3.532045095180401471e-03,3.881600000000000050e-01,9.002024237224223180e-01
3.532045095180401471e-03,3.883599999999999830e-01,9.001902001549292320e-01
3.552580241082612701e-03,3.883599999999999830e-01,9.001867960392969659e-01
3.552580241082612701e-03,3.883800000000000030e-01,9.001852639077171370e-01
